,,,"Mon, Jul 13",OBJETIVO,,,115 gr,100 gr,124 gr,35 gr,2000 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43 gr,Palta,DIFF HOY,,,18.53%,10.75%,3.43%,-7.70%,7.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,Carne roja últimos 7 días,,,,21 gr,11 gr,4 gr,-3 gr,149 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-07-12,60 gr,Primer día carbs menores a...,TOTAL HOY,,,94 gr,89 gr,120 gr,38 gr,1851 kcal,,,,,,Totales históricos del día,,,,,,,Objetivos,,,,,Total grasas acumuladas x día,,,,,,,Ins / Sat,,Ratio,Total grasas x alimento,,,,,,
+,Fecha,Hora,Alimento,Cant.,Tipo Alimento,Gramos,Proteína,Carbs,Grasa,Fibra,Calorías,Ayuno,x,PBG,BGB,BGI,Proteína,Carbs,Grasa,Fibra,Calorías,Gr. Totales,,Proteína 115,Carbs 100,Grasa 124,Fibra 35,Calorías 2000,Ω 3,Ω 6,Ω 9,SCFA,MCFA,LCFA,Tóx,Ins,Sat,Ω3:Ω6,Ω 3 (g),Ω 6 (g),Ω 9 (g),SCFA (g),MCFA (g),LCFA (g),Tóx (g)
,"Thu, Feb 26",12:30 ,Pollo (1 pechuga),0.7,Proteína,210 gr,60 gr,0 gr,7 gr,0 gr,317 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,1.34,2.69,,,6.72,
,"Thu, Feb 26",12:30 ,"Ensalada (lechuga, repollo b+m, zanahoria)",1,Verdura,120 gr,2 gr,5 gr,0 gr,2 gr,30 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Feb 26",12:30 ,"Aceite de oliva El Gran Juicio (EV, 1 cda sop)",1,Grano,12 gr,0 gr,0 gr,12 gr,0 gr,108 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,1.20,9.00,,,12.00,
,"Thu, Feb 26",12:30 ,Queso Unt. Finlandia Light,1,Lácteo,10 gr,1 gr,1 gr,1 gr,0 gr,19 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,0.43,0.06,0.10,0.82,
,"Thu, Feb 26",12:30 ,"Rapiditas integrales, tortillas",2,Carb,55 gr,5 gr,26 gr,3 gr,4 gr,154 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Feb 26",13:10 ,Yogurt Yogurisimo Descremado,1,Lácteo,190 gr,8 gr,11 gr,0 gr,0 gr,77 kcal,00:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Feb 26",13:10 ,Avena Granix Instnatánea (2 cdas),1,Grano,30 gr,4 gr,18 gr,2 gr,3 gr,107 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Feb 26",14:50 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,01:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Feb 26",14:50 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
